filepath,SAC,WAC,STC,WTC,SCC,WCC,Correct
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_9.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_10.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_11.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_12.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_13.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_14.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_15.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_16.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_17.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_18.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_19.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_20.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_21.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_22.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_23.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_24.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_4.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_5.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_6.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_7.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_8.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_0_9.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_10.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_11.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_12.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_13.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_14.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_15.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_16.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_17.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_18.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_19.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_20.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_21.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_22.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_23.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_24.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_4.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_5.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_6.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_7.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_8.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_2_9.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_10.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_11.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_12.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_13.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_14.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_15.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_16.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_17.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_18.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_19.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_20.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_21.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_22.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_23.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_24.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_4.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_5.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_6.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_7.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_8.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_1_3_9.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_10.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_11.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_12.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_13.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_14.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_15.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_16.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_4.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_5.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_6.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_7.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_8.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_0_9.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_1_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_1_10.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_1_11.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_2_1_12.txt,1,0,0,0,0,0,1
